Nr,1,2,3
09/22/23 12:00,2.4,0.8,0.4
09/23/23 12:00,2.4,0.4,0.4
09/24/23 12:00,2.8,0.8,0.4
09/25/23 12:00,2.4,0.8,0.4
09/26/23 12:00,2.2000000000000002,1.4,0.6
09/27/23 12:00,2.2000000000000002,0.6,0.8
09/28/23 12:00,2.6,1.2,0.8
09/29/23 12:00,2.2000000000000002,0.6,0.6
09/30/23 12:00,2.4,0.6,0.4
10/01/23 12:00,2.4,0.4,0.6
10/02/23 12:00,2.8,0.4,0.4
10/03/23 12:00,2.6,0.4,0.4
10/04/23 12:00,2,0.8,0.8
10/05/23 12:00,2.4,0.4,
10/06/23 12:00,2.4,0.6,0.8
10/07/23 12:00,2.2000000000000002,0.4,0.4
10/08/23 12:00,2,0.4,0.4
10/09/23 12:00,2,0.8,0.8
10/10/23 12:00,2,0.6,0.6
10/11/23 12:00,2.6,0.4,0.8
10/12/23 12:00,2.6,1,0.4
10/13/23 12:00,2.2000000000000002,0.4,0.6
10/14/23 12:00,2.4,0.8,0.4
10/15/23 12:00,2.2000000000000002,0.4,0.4
10/16/23 12:00,2.2000000000000002,0.6,0.8
10/17/23 12:00,2,0.4,0.6
10/18/23 12:00,2.8,0.6,0.8
10/19/23 12:00,2.8,0.6,0.8
10/20/23 12:00,2.8,0.4,0.4
10/21/23 12:00,2.8,0.6,0.4
10/22/23 12:00,2.4,0.4,0.8
10/23/23 12:00,2.6,0.6,0.4
10/24/23 12:00,2.8,1.2,0.8
10/25/23 12:00,2.2000000000000002,0.6,0.4
10/26/23 12:00,2.4,0.6,0.4
10/27/23 12:00,2.6,0.6,0.4
10/28/23 12:00,3,0.4,1
10/29/23 12:00,2.4,0.4,0.8
10/30/23 12:00,2.6,,0.4
10/31/23 12:00,2.4,0.8,0.4
11/01/23 12:00,2.4,0.4,0.6
11/02/23 12:00,2,0.8,0.6
11/03/23 12:00,2.4,1,1.8
11/04/23 12:00,2.2000000000000002,1,1.2
11/05/23 12:00,2.4,1.6,0.6
11/06/23 12:00,2.6,0.6,0.6
11/07/23 12:00,3,1,1
11/08/23 12:00,3.2,0.6,1.4
11/09/23 12:00,2.2000000000000002,0.8,0.6
11/10/23 12:00,2.2000000000000002,1.6,1.2
11/11/23 12:00,2.4,1.2,0.6
11/12/23 12:00,2.4,0.8,0.8
11/13/23 12:00,3.2,1.6,1.2
11/14/23 12:00,3.2,1.6,1.2
11/15/23 12:00,2.4,1,0.6
11/16/23 12:00,2.4,1.2,
11/17/23 12:00,2.2000000000000002,0.8,1.4
11/18/23 12:00,2.2000000000000002,0.6,0.6
11/19/23 12:00,2.6,0.4,1.4
11/20/23 12:00,2.8,1,0.6
11/21/23 12:00,2.6,1,0.8
11/22/23 12:00,2.6,1,0.6
11/23/23 12:00,3.6,0.8,1.2
11/24/23 12:00,3.8,1.2,1
11/25/23 12:00,3.4,1.8,1.2
11/26/23 12:00,3,1.6,1.2
11/27/23 12:00,3.6,0.6,0.6
11/28/23 12:00,4.4000000000000004,1,0.6
11/29/23 12:00,3.6,1.2,1.4
11/30/23 12:00,3.6,1.4,0.6
12/01/23 12:00,4,1.2,0.6
12/02/23 12:00,3.4,1,0.4
12/03/23 12:00,2.2000000000000002,0.6,0.4
12/04/23 12:00,4,1.2,0.6
12/05/23 12:00,4.8,1.6,1
12/06/23 12:00,6.8,1,2
12/07/23 12:00,5.2,3,2
12/08/23 12:00,4,1.6,2
12/09/23 12:00,3.4,3,1.8
12/10/23 12:00,4.2,0.6,1
12/11/23 12:00,3.4,0.4,0.4
12/12/23 12:00,3.4,1.2,0.4
12/13/23 12:00,3.8,2.6,1.6
12/14/23 12:00,3,0.4,0.4
12/15/23 12:00,2.4,0.6,0.4
12/16/23 12:00,2.2000000000000002,0.8,0.4
12/17/23 12:00,2.4,0.4,0.6
12/18/23 12:00,3,2.2000000000000002,0.6
12/19/23 12:00,2.8,1.2,0.4
12/20/23 12:00,2,0.4,0.4
12/21/23 12:00,4.2,0.6,0.4
12/22/23 12:00,3,0.4,0.8
12/23/23 12:00,2.4,0.4,0.6
12/24/23 12:00,2.8,0.4,0.4
12/25/23 12:00,2.4,0.4,0.6
12/26/23 12:00,2.6,0.4,0.4
12/27/23 12:00,2,0.8,0.4
12/28/23 12:00,3.2,0.4,0.6
12/29/23 12:00,3,1.2,0.4
12/30/23 12:00,2.6,0.4,0.4
12/31/23 12:00,3.4,0.8,0.6
