Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
01/01/23 06:00,,,,,,,,0.36,0.2,0.16,1.58,0.55000000000000004,,0.11,,,,,,0.32,0.54,,,,,0.37,,0.12,
01/01/23 07:00,,,,,,,,0.32,0.1,0.12,1.58,0.48,,0.13,,,,0.45,,0.31,,,,,,0.43,,0.08,
01/01/23 08:00,0.18,,,,,,,0.32,0.1,0.14000000000000001,1.6,0.46,,0.1,,,,0.46,,0.33,,,,,,0.28000000000000003,,0.08,
01/01/23 09:00,,,,,,,,0.35,0.2,0.13,1.6,0.52,,0.1,,,,0.44,,0.38,,,,,,0.26,,0.09,
01/01/23 10:00,,,,,,,,0.37,0.2,0.16,1.6,0.65,,0.11,,,,0.53,,0.34,0.18,,,,,0.27,,0.11,
01/01/23 11:00,,,,,,,,0.42,0.3,0.15,1.68,0.72,,0.1,,,,0.49,,0.38,0.31,,,,,0.44,,0.13,
01/01/23 12:00,,,,,,,,0.4,0.3,0.16,1.62,0.64,,0.13,,,,0.4,,0.35,0.48,,,,,0.25,,0.13,
01/01/23 01:00,,,,,,,,0.34,0.2,0.15,1.58,0.54,,0.11,,,,0.43,0.1,0.32,,,,,,0.52,,0.12,0.36
01/01/23 02:00,,,,,,,,0.34,0.2,0.11,1.8,0.56000000000000005,,0.13,,,,0.41,0.12,0.42,0.19,,,,,0.6,,0.12,
01/01/23 03:00,,,,,,,,0.36,0.2,0.15,1.85,0.56999999999999995,,0.15,,,,0.48,,0.43,,,,,,0.68,,0.12,
01/01/23 04:00,,,,,,,,0.37,0.2,0.15,1.87,0.56999999999999995,,0.17,,,,0.44,,0.47,,,,,,0.57999999999999996,,0.1,0.9
01/01/23 05:00,,,,,,,,0.38,0.2,0.11,1.9,0.59,,0.16,,,,0.46,,0.46,,,,,,0.7,,0.13,
01/01/23 06:00,,,,,,,,0.37,0.2,0.12,1.92,0.57999999999999996,,0.17,,,,0.44,,0.48,,,,,0.12,0.66,,0.14000000000000001,
01/01/23 07:00,,,,,,,,0.39,0.3,0.15,1.98,0.71,,0.18,,,,0.49,,0.5,,,,,,0.82,,0.15,
01/01/23 08:00,,,,,,,,0.4,0.4,0.13,2.11,0.84,,0.2,,,,0.48,,0.53,,,,,,0.65,,0.19,2.0299999999999998
01/01/23 09:00,,,,,,,,0.47,0.5,0.11,2.1800000000000002,0.93,,0.23,,,,0.51,,0.99,,,,,,1.1200000000000001,,0.25,
01/01/23 10:00,,,,,,,,0.56000000000000005,0.6,0.13,2.2400000000000002,1.2,,0.2,0.12,,,0.46,0.09,0.56999999999999995,,,,,,1.07,,0.25,
01/01/23 11:00,,,,,,,,0.44,0.4,0.15,2.25,0.93,,0.18,,,,0.46,0.08,0.56000000000000005,,,,,,1.1200000000000001,,0.22,
01/02/23 12:00,,,,,,,,0.49,0.5,0.17,2.42,1.02,,0.26,,,,0.48,0.1,0.62,0.13,,,,,1.19,,0.3,
01/02/23 01:00,,,,,,,,0.46,0.5,0.12,2.4,1.01,,0.23,,,,0.44,0.09,0.64,,,,,,0.99,,0.31,1.08
01/02/23 02:00,,,,,,,,0.45,0.4,0.12,2.2799999999999998,0.91,,0.21,,,,0.42,0.09,0.63,,,,,,1.21,,0.34,7.0000000000000007E-2
01/02/23 03:00,,,,,,,,0.46,0.4,0.11,2.27,0.88,,0.25,0.08,,,0.46,0.1,0.67,,,,,,1.25,,0.34,7.0000000000000007E-2
01/02/23 04:00,,,,,,,,0.43,0.4,0.11,2.2000000000000002,0.92,,0.22,,,,0.41,,0.62,0.13,,1.1299999999999999,,,0.95,,0.35,
01/02/23 05:00,,,,,,,,0.43,0.4,0.1,2.17,0.93,,0.17,,,,0.41,0.08,0.57999999999999996,,,,,,0.97,,0.31,
01/02/23 06:00,,,,,,,,0.51,0.5,0.13,2.27,1.1599999999999999,,0.22,,,,0.48,0.11,0.59,0.09,,,,,0.95,,0.36,
01/02/23 07:00,,,,,,,,0.55000000000000004,0.6,0.12,2.38,1.34,,0.3,0.09,,,0.53,0.14000000000000001,0.66,0.13,,,,,1.27,,0.41,
01/02/23 08:00,,,,,,,,0.57999999999999996,0.7,0.15,2.4500000000000002,1.51,,0.45,,,,0.48,0.17,0.69,0.24,,,,,1.2,,0.44,0.08
01/02/23 09:00,,,,,,,,0.64,0.8,0.16,2.48,1.67,,0.49,0.18,,,0.49,0.2,0.66,0.17,,,,,1.31,,0.48,0.66
01/02/23 10:00,,,,,,,,0.62,0.8,0.16,2.4900000000000002,1.67,0.15,0.46,,,,0.46,0.39,0.75,0.15,,,,0.32,1.36,,0.53,
01/02/23 11:00,,,,,,,,0.7,0.8,0.16,2.57,1.65,0.13,0.5,,,,0.49,0.39,0.9,0.19,,0.19,,0.12,1.71,,0.65,
01/02/23 12:00,,,,,,,,0.67,0.8,0.15,2.56,1.74,0.1,0.44,,,,0.43,0.23,0.78,,,,,0.09,1.3,,0.51,
01/02/23 01:00,,,,,,,,0.63,0.8,0.17,2.4500000000000002,1.53,0.08,0.43,,,,0.45,0.2,0.7,0.08,,,,,1.23,,0.5,
01/02/23 02:00,,,,,,,,0.61,0.7,0.14000000000000001,2.2599999999999998,1.44,7.0000000000000007E-2,0.35,0.21,,,0.47,0.23,0.67,0.1,,,,7.0000000000000007E-2,0.97,,0.43,
01/02/23 03:00,,,,,,,,0.61,0.7,0.18,2.1800000000000002,1.47,,0.32,,,,0.46,0.19,0.67,,,,,,1.1299999999999999,,0.44,
01/02/23 04:00,,,,,,,,0.67,0.7,0.17,2.17,1.59,0.08,0.27,,,,0.49,0.19,0.6,0.13,,,,,1.08,,0.47,
01/02/23 05:00,,,,,,,,0.67,0.8,0.14000000000000001,2.2000000000000002,1.64,,0.33,0.09,,,0.48,0.19,0.71,0.1,,,,,1.19,,0.56999999999999995,
01/02/23 06:00,,,,,,,,0.71,0.9,0.15,2.2599999999999998,1.81,0.08,0.28000000000000003,,,,0.46,0.23,0.64,,,,,0.08,0.97,,0.54,
01/02/23 07:00,,,,,,,,0.71,0.8,0.18,2.2599999999999998,1.77,0.1,0.28999999999999998,0.11,,,0.48,0.26,0.65,0.15,,,,0.1,0.94,,0.55000000000000004,
01/02/23 08:00,,,,,,,,0.66,0.7,0.17,2.2400000000000002,1.68,0.08,0.37,,,,0.46,0.24,0.6,,,,,0.08,1.1100000000000001,,0.53,
01/02/23 09:00,,,,,,,,0.54,0.6,0.14000000000000001,2.0499999999999998,1.39,,0.21,,,,,0.17,0.54,,,,,,0.65,,0.37,0.16
01/02/23 10:00,,,,,,,,0.43,0.4,0.13,2.02,0.86,,0.24,,,,0.48,0.11,0.96,0.17,,,,,0.89,,0.21,
01/02/23 11:00,,,,,,,,0.34,0.2,0.12,2.2400000000000002,0.66,,0.22,,,,0.45,0.08,0.69,,,,,,1.2,,0.16,
01/03/23 12:00,,,,,,,,0.34,0.2,0.12,2.27,0.57999999999999996,,0.19,,,,0.44,,0.59,,,,,,1.1200000000000001,,0.11,0.66
01/03/23 01:00,,,,,,,,0.34,0.2,0.12,2.2599999999999998,0.53,,0.19,,,,0.44,,0.61,,,,,,1.1499999999999999,,0.12,
01/03/23 02:00,,,,,,,,0.32,0.2,0.12,2.2799999999999998,0.51,,0.2,,,,0.44,0.46,0.6,,,,,,1.19,,0.09,
01/03/23 03:00,,,,,,,,0.34,0.2,0.12,2.21,0.46,,0.21,,,,0.44,0.21,0.55000000000000004,,,,,,1.1599999999999999,,0.08,
01/03/23 04:00,,,,,,,,0.34,0.2,0.11,2.15,0.44,,0.16,,,,0.44,,0.51,,,,,,1,,7.0000000000000007E-2,
01/03/23 05:00,,,,,,,,0.33,0.2,0.12,2.23,0.39,,0.22,,,,0.46,0.21,0.56000000000000005,,,,,,1.1299999999999999,,0.1,
01/03/23 06:00,,,,,,,,0.34,0.2,0.13,2.2599999999999998,0.43,,0.22,,,,0.47,,0.56000000000000005,,,,,,1.06,,0.11,
01/03/23 07:00,,,,,,,,0.33,0.2,0.12,2.2799999999999998,0.42,,0.21,,,,0.43,,0.55000000000000004,,,,,0.23,1.18,,0.08,
01/03/23 08:00,,,,,,,,0.34,0.2,0.1,2.25,0.39,,0.19,,,,0.44,,0.56000000000000005,,,,,,1.23,,0.1,
01/03/23 09:00,,,,,,,,0.36,0.2,0.1,2.25,0.46,,0.2,,,,0.45,,0.6,,,,,,1.22,,0.11,
01/03/23 10:00,,,,,,,,0.36,0.2,0.12,2.27,0.43,,0.2,,,,0.46,,0.63,,,,,,1.3,,,
01/03/23 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/23 12:00,,,,,,,,0.27,0.3,0.09,2.2200000000000002,0.43,,0.22,,,,0.31,0.09,0.88,,,,,,1.29,,0.1,0.48
01/03/23 01:00,,,,,,,,0.34,0.3,0.12,2.2000000000000002,0.44,,0.21,,,,0.57999999999999996,0.14000000000000001,0.62,,,,,0.08,1.17,,0.11,
01/03/23 02:00,0.34,,,,,,,0.34,0.2,0.14000000000000001,2.25,0.42,,0.22,,,,0.51,0.11,0.59,,,,,,1.24,,0.14000000000000001,
01/03/23 03:00,0.33,,,,,,,0.36,0.2,0.12,2.34,0.43,,0.21,,,,0.48,0.1,0.6,0.12,,,,,1.26,,0.12,
01/03/23 04:00,0.18,,,,,,,0.37,0.2,0.12,2.2799999999999998,0.48,,0.22,,,,0.54,,0.6,,,,,,1.3,,0.13,
01/03/23 05:00,0.39,,,,,,,0.37,0.2,0.11,2.2599999999999998,0.5,,0.18,,,,0.5,0.11,0.56000000000000005,,,,,0.09,1.35,,0.1,
01/03/23 06:00,0.35,,,,,,,0.42,0.3,0.14000000000000001,2.35,0.6,,0.21,,,,0.52,0.13,0.61,,,,,,1.51,,0.15,
01/03/23 07:00,,,,,,,,0.43,0.4,0.12,2.35,0.69,,0.2,,,,0.52,0.11,0.6,0.14000000000000001,,,,,1.39,,0.16,
01/03/23 08:00,0.13,,,,,,,0.47,0.4,0.12,2.39,0.72,,0.23,,,,0.48,0.11,0.6,,,,,,1.26,,0.19,
01/03/23 09:00,0.32,,,,,,,0.45,0.4,0.11,2.41,0.77,,0.22,,,,0.47,0.14000000000000001,0.65,,,,,,1.34,,0.18,0.12
01/03/23 10:00,,,,,,,,0.43,0.3,0.13,2.4500000000000002,0.66,,0.28000000000000003,,1.1100000000000001,,0.45,0.11,0.69,,,,,,1.31,,0.18,
01/03/23 11:00,,,,,,,,0.44,0.3,0.12,2.4900000000000002,0.7,,0.24,,,,0.45,0.09,0.67,,,,,,1.46,,0.21,
01/04/23 12:00,0.28000000000000003,,,,,,,0.44,0.4,0.11,2.5499999999999998,0.71,,0.28000000000000003,,,,0.45,0.09,0.67,,,,,,1.39,,0.19,
01/04/23 01:00,,,,,,,,0.47,0.4,0.13,2.61,0.77,,0.31,,,,0.43,0.09,0.64,0.22,,,,,1.34,,0.19,0.41
01/04/23 02:00,0.28999999999999998,,,,,,,0.44,0.4,0.1,2.66,0.76,,0.27,,,,0.47,0.12,0.68,0.13,,,,,1.49,,0.21,0.18
01/04/23 03:00,0.08,,,,,,,0.41,0.3,0.09,2.54,0.65,,0.26,,,,0.42,0.19,0.68,,,,,,1.33,,0.24,
01/04/23 04:00,0.18,,,,,,,0.41,0.3,0.11,2.56,0.65,,0.26,,,,0.45,,0.62,,,,,,1.42,,0.23,
01/04/23 05:00,0.36,,,,,,,0.43,0.4,0.1,2.61,0.72,,0.25,,,,0.41,0.35,0.68,,,,,,1.58,,0.27,
01/04/23 06:00,0.2,,,,,,,0.44,0.4,0.11,2.65,0.71,,0.28999999999999998,,,,0.39,0.11,0.69,,,,,,1.55,,0.22,
01/04/23 07:00,0.23,,,,,,,0.48,0.4,0.12,2.61,0.83,,0.36,,,,0.4,0.2,0.72,0.14000000000000001,,0.18,,,1.36,,0.33,0.54
01/04/23 08:00,0.09,,,,,,,0.52,0.5,0.1,2.72,0.96,0.21,0.33,,,,0.44,0.46,0.75,0.21,,,,0.2,1.59,,0.32,0.41
01/04/23 09:00,0.32,,,,,,,0.6,0.7,0.15,2.93,1.18,0.32,0.4,,,,0.39,0.83,0.96,,,,,0.2,1.76,,0.52,
01/04/23 10:00,,,,,,,,0.68,0.7,0.11,3.11,1.27,0.6,,,,,0.43,1.78,1.04,,,,,0.38,1.89,,0.59,
01/04/23 11:00,0.14000000000000001,,,,,,,0.73,1.2,0.17,3.19,1.56,0.51,,,,,0.41,1.7,,0.19,,,,0.38,2.0099999999999998,,0.66,
01/04/23 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/23 01:00,,,,,,,,0.63,0.9,0.16,2.73,1.32,0.09,0.57999999999999996,,,,0.46,0.35,,,,,,0.08,1.76,,0.43,
01/04/23 02:00,,,,,,,,,0.8,0.1,2.95,1.5,0.1,,,,,0.34,0.4,,,,0.12,,0.11,2,,0.46,
01/04/23 03:00,,,,,,,,0.67,0.9,0.16,2.88,1.48,0.34,0.87,,,,0.43,1.08,,0.19,,,,0.32,1.83,,0.62,
01/04/23 04:00,,,,,,,,0.61,0.7,0.17,2.73,1.24,0.11,0.43,,,,0.42,0.34,0.95,,0.71,,,0.1,1.59,,0.47,
01/04/23 05:00,,,,,,,,0.56999999999999995,0.6,0.12,2.65,1.18,,0.35,,,,0.47,0.25,0.79,,0.1,,,,1.49,,0.35,
01/04/23 06:00,,,,,,,,0.5,0.5,0.12,2.56,1,7.0000000000000007E-2,0.32,,,,0.43,0.18,0.71,0.1,,,,,1.38,,0.31,
01/04/23 07:00,,,,,,,,0.48,0.4,0.13,2.5299999999999998,0.91,,0.24,,,,0.45,0.13,0.72,,,,,,1.41,,0.25,
01/04/23 08:00,,,,,,,,0.44,0.3,0.1,2.54,0.77,,0.28999999999999998,,,,0.45,0.12,0.72,,,,,,1.47,,0.23,
01/04/23 09:00,,,,,,,,0.44,0.3,0.13,2.5499999999999998,0.71,,0.28999999999999998,,,,0.44,0.13,0.74,,,,,,1.39,,0.23,
01/04/23 10:00,,,,,,,,0.4,0.3,0.11,2.56,0.69,,0.28000000000000003,,,,0.43,0.08,0.74,,,,,,1.42,,0.19,
01/04/23 11:00,,,,,,,,0.41,0.3,0.11,2.5299999999999998,0.63,,0.33,,,,0.46,0.1,0.73,,,,,,1.41,,0.19,
01/05/23 12:00,,,,,,,,0.43,0.3,0.09,2.68,0.67,,0.27,,,,0.44,0.08,0.77,,,,,,1.52,,0.19,
01/05/23 01:00,,,,,,,,0.4,0.3,0.12,2.81,0.57999999999999996,,0.25,,,,0.43,0.08,0.78,0.16,,,,,1.61,,0.17,
01/05/23 02:00,,,,,,,,0.35,0.2,0.13,2.98,0.49,,0.3,,,,0.49,,0.81,,,,,,1.77,,0.14000000000000001,0.37
01/05/23 03:00,,,,,,,,0.33,0.2,0.1,3.09,0.37,,0.27,,,,0.38,,0.89,0.15,,,,,1.94,,0.13,
01/05/23 04:00,,,,,,,,0.35,0.2,0.09,3.24,0.37,0.11,0.3,,,,0.48,,0.9,,,,,,1.98,,0.09,
01/05/23 05:00,,,,,,,,0.34,0.2,0.11,3.27,0.36,,0.31,,,,0.43,0.26,0.92,,,,,,2.04,,0.14000000000000001,
01/05/23 06:00,,,,,,,,0.34,0.2,0.1,3.37,0.35,,0.3,,,,0.45,,0.92,0.32,,,,,1.97,,0.09,
01/05/23 07:00,,,,,,,,0.34,0.2,0.09,3.58,0.34,,0.34,,,,0.44,,0.99,,,,,,2.27,,0.09,
01/05/23 08:00,,,,,,,,0.35,0.2,0.12,3.78,0.37,,0.36,,,,0.4,,1.0900000000000001,,,,,,2.42,,0.11,
01/05/23 09:00,,,,,,,,0.35,0.2,0.1,3.91,0.42,,0.41,,,,0.42,,1.06,0.1,,,,,2.46,,0.13,
01/05/23 10:00,,,,,,,,0.38,0.2,0.1,3.88,0.4,,0.38,,,,0.45,,1.1200000000000001,,0.08,,,,2.58,,0.14000000000000001,
01/05/23 11:00,,,,,,,,0.37,0.2,0.1,3.88,0.4,,0.34,,,,0.48,,1.0900000000000001,0.1,,,,,2.4700000000000002,,0.13,
01/05/23 12:00,,,,,,,,0.38,0.2,0.12,4,0.46,,0.36,,,,0.43,,1.1100000000000001,,,,,,2.64,,0.1,
01/05/23 01:00,,,,,,,,0.4,0.2,0.12,3.9,0.42,,0.38,,,,0.44,,1.08,0.1,,,,,2.4900000000000002,,0.12,
01/05/23 02:00,,,,,,,,0.39,0.3,0.12,2.98,0.47,,0.36,,,,0.46,0.11,0.99,0.08,,,,,1.94,,0.16,
01/05/23 03:00,,,,,,,,0.4,0.2,0.08,2.39,0.42,,,,,,0.47,0.08,0.91,,,,,,1.42,,0.13,
01/05/23 04:00,,,,,,,,0.39,0.3,0.11,2.4700000000000002,0.52,,0.32,,,,0.41,0.09,,,,,,,1.59,,0.19,
01/05/23 05:00,,,,,,,,0.49,0.4,0.12,2.59,0.74,0.1,0.36,,,,0.43,0.12,0.87,0.16,,,,,1.53,,0.26,0.24
01/05/23 06:00,,,,,,,,0.48,0.4,0.11,2.44,0.68,0.09,0.33,,,,0.44,0.09,0.72,,,,,0.09,1.18,,0.21,7.0000000000000007E-2
01/05/23 07:00,,,,,,,,0.48,0.4,0.12,2.34,0.72,,0.28000000000000003,,,,0.45,0.08,0.64,,,,,,1.34,,0.21,0.38
01/05/23 08:00,,,,,,,,0.46,0.4,0.12,2.35,0.74,,0.28999999999999998,,,,0.41,0.1,0.65,0.09,,,,,1.27,,0.23,
01/05/23 09:00,,,,,,,,0.44,0.4,0.1,2.3199999999999998,0.7,,0.27,,,,0.44,0.12,0.66,,,,,,1.26,,0.28999999999999998,0.72
01/05/23 10:00,,,,,,,,0.45,0.4,0.1,2.3199999999999998,0.68,,0.26,,,,0.46,0.17,0.65,,,,,0.08,1.32,,0.22,
01/05/23 11:00,,,,,,,,0.41,0.4,0.11,2.34,0.63,,0.24,,,,0.44,0.09,0.71,,,,,,1.31,,0.17,
01/06/23 12:00,,,,,,,,0.43,0.4,0.09,2.39,0.6,,0.3,,0.13,,,,0.75,0.1,,,,,1.38,,0.21,
01/06/23 01:00,,,,,,,,0.43,0.3,0.09,2.4500000000000002,0.61,,0.28999999999999998,,,,0.44,0.09,0.76,0.13,,,,,1.31,,0.18,
01/06/23 02:00,,0.33,,,,,,0.42,0.4,0.14000000000000001,2.44,0.57999999999999996,,0.31,,,,0.44,0.08,0.75,,,,,,1.4,,0.17,
01/06/23 03:00,,,1.1499999999999999,,,,,0.4,0.3,0.1,2.4,0.55000000000000004,0.08,0.28000000000000003,,0.74,,0.43,0.08,0.71,0.18,,,,,1.51,,0.18,
01/06/23 04:00,,,,,,,,0.38,0.3,,2.41,0.52,,0.28000000000000003,,,,0.42,,0.7,0.16,,,,,1.4,,0.15,
01/06/23 05:00,,,,,,,,0.39,0.3,0.09,2.48,0.5,0.13,0.33,,,,0.42,,0.71,0.24,,,,,1.46,,0.14000000000000001,
01/06/23 06:00,,,,,,,,0.38,0.3,0.08,2.5499999999999998,0.5,,0.34,0.1,,,0.44,0.08,0.79,0.1,0.09,,,,1.5,,0.16,
01/06/23 07:00,,0.38,0.16,,,,,0.38,0.3,0.09,2.62,0.42,,0.36,,,,0.41,0.49,0.83,,0.79,,,,1.62,,0.15,0.48
01/06/23 08:00,,,,,,,,0.38,0.3,0.11,2.71,0.42,,0.42,,,,0.44,0.38,0.96,0.13,,,,,1.95,,0.15,
01/06/23 09:00,,,,,,,,0.38,0.3,0.11,2.89,0.41,,0.51,,,,0.43,,1.0900000000000001,,,0.35,,,1.95,,0.17,
01/06/23 10:00,0.11,,,,,,,0.38,0.3,0.09,2.85,0.38,0.14000000000000001,0.43,,,,0.43,0.17,1.05,,,,,,2,,0.19,
01/06/23 11:00,,,,,,,,0.39,0.3,0.1,2.87,0.43,,0.46,,,,0.44,0.21,1.08,0.11,,,,0.19,2.1,,0.18,
01/06/23 12:00,,,,,,,,0.51,0.5,0.11,3.02,0.7,,0.49,0.11,,,0.43,7.0000000000000007E-2,1.1000000000000001,,,,,,2.1,,0.19,0.1
01/06/23 01:00,,,,,,,,0.48,0.4,0.1,2.98,0.65,,0.43,,,,0.43,0.13,1.07,,,,,,2.0699999999999998,,0.21,0.59
01/06/23 02:00,,,,,,,,0.51,0.5,0.11,3.01,0.75,,0.5,,,,0.43,,1.08,7.0000000000000007E-2,,,,,2,,0.25,
01/06/23 03:00,,,0.11,,,,,0.57999999999999996,0.6,0.09,3.06,0.96,,,0.14000000000000001,,,0.47,0.1,1.08,0.14000000000000001,0.76,,,,2.0099999999999998,,0.3,
01/06/23 04:00,,,,,,,,0.65,0.9,0.14000000000000001,3.08,1.28,7.0000000000000007E-2,0.44,0.11,,,0.42,0.13,,,,,,,1.97,,0.39,
01/06/23 05:00,,0.35,,,,,,0.66,0.8,0.1,3,1.33,,0.43,,,,0.43,0.19,1.07,,,,,,1.88,,0.4,
01/06/23 06:00,,,,,,,,0.64,0.9,0.12,2.98,1.39,,0.39,,,,0.42,0.19,0.86,,0.35,,,,1.73,,0.41,0.11
01/06/23 07:00,0.13,,,,,,,0.66,0.9,0.16,3.02,1.43,,0.38,0.13,,,0.44,0.15,0.89,,,,,,1.7,,0.43,
01/06/23 08:00,,,,,,,,0.8,1,0.12,3.05,1.87,7.0000000000000007E-2,0.46,0.15,,,0.42,0.21,0.88,0.14000000000000001,,,,0.08,1.79,,0.45,
01/06/23 09:00,,,,,,,,0.83,1,0.17,3.05,1.91,0.09,0.43,0.13,,,0.4,0.23,0.92,0.14000000000000001,,,,,1.83,,0.45,1.17
01/06/23 10:00,0.12,,,,,,,0.78,1.1000000000000001,0.16,3.28,1.94,0.09,0.5,,,,0.39,0.22,0.96,,,,,7.0000000000000007E-2,1.84,,0.6,
01/06/23 11:00,,,,,,,,0.89,1.3,0.16,3.31,2.21,0.08,0.52,0.16,,,0.43,0.26,0.98,,,,,0.09,1.93,,0.73,
01/07/23 12:00,,,,,,,,0.8,1.1000000000000001,0.12,3.21,1.88,0.1,0.42,0.14000000000000001,,,0.41,0.19,0.99,,0.46,,,,1.86,,0.61,
01/07/23 01:00,,,,,,,,0.57999999999999996,0.6,0.11,2.98,1.34,0.12,0.31,,,,0.45,0.13,0.78,,0.67,,,,1.61,,0.38,
01/07/23 02:00,,,,,,,,0.52,0.5,0.11,2.85,1.1499999999999999,,0.28000000000000003,,,,0.44,0.12,0.77,0.33,,,,,1.72,,0.28000000000000003,
01/07/23 03:00,,,,,,,,0.46,0.4,0.09,2.75,0.97,,0.28000000000000003,,,,0.41,0.08,0.75,,,,,,1.47,,0.28000000000000003,
01/07/23 04:00,,,,,,,,0.46,0.4,0.09,2.78,0.91,,0.28000000000000003,,,,0.47,0.09,0.73,,,,,,1.69,,0.23,
01/07/23 05:00,,,,,,,,0.43,0.4,0.08,2.77,0.83,,0.27,,,,0.42,0.28999999999999998,0.72,,,,,,1.45,,0.23,
01/07/23 06:00,,,,,,,,0.41,0.3,0.1,2.68,0.77,,0.25,,,,0.42,0.09,0.71,0.09,,,,0.08,1.52,,0.2,
01/07/23 07:00,,,,,,,,0.38,0.3,0.08,2.67,0.73,0.1,0.27,,,,0.42,0.1,0.78,0.19,,0.28000000000000003,,,1.41,,0.21,
01/07/23 08:00,,,,,,,,0.4,0.3,0.12,2.63,0.71,,0.24,,,,0.41,0.1,0.72,7.0000000000000007E-2,,,,,1.48,,0.21,
01/07/23 09:00,,0.09,,,,,,0.44,0.4,0.09,2.63,0.83,,0.32,0.12,,,0.4,0.17,0.8,0.19,,,,,1.61,,0.24,0.72
01/07/23 10:00,,,,,,,,0.73,,0.45,2.86,1.44,,0.4,,,,0.42,,0.94,0.17,,,,,1.73,,,
01/07/23 11:00,,,,,,,,1.08,1.3,0.24,3.09,2.3199999999999998,0.11,0.34,,,,0.4,0.31,0.87,,,,,0.16,1.7,,0.67,
01/07/23 12:00,,,,,,,,0.62,0.7,0.2,2.87,1.48,0.14000000000000001,,,,,0.39,0.17,0.86,,,0.09,,0.12,1.65,,0.38,
01/07/23 01:00,0.09,,,,,,,0.76,0.9,0.18,2.97,1.66,0.1,0.37,0.16,,,0.46,0.24,0.8,,,,,,1.54,,0.4,
01/07/23 02:00,,,,,,,,1.02,1.2,0.18,3.14,2.46,0.1,0.35,0.09,,,0.41,0.17,0.82,0.11,,,,,1.7,,0.46,0.19
