Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
01/06/23 12:00,2.5999999999999999E-2,0.02,0.39400000000000002,0.22600000000000001,3.1E-2,5.3999999999999999E-2,0.16400000000000001,0.59799999999999998,1.8620000000000001,0.72499999999999998,4.1000000000000002E-2,0.16600000000000001,,0.157,1.7000000000000001E-2,0.13500000000000001,0.30299999999999999,1.6890000000000001,,1.262,3.9E-2,1.4910000000000001,,2E-3,5.0000000000000001E-4,2E-3,1.446,1.8420000000000001,,1.651,0.01,3.1E-2,,0.111,0.01,0.01,0.65100000000000002,1.1479999999999999,,1.2490000000000001,2.1000000000000001E-2,0.11799999999999999,0.61,0.13100000000000001,2.1999999999999999E-2,0.115,0.871,1.3859999999999999,3.73,1.2989999999999999
01/07/23 12:00,2.3E-2,0.02,,8.5999999999999993E-2,8.9999999999999993E-3,5.8000000000000003E-2,0.23599999999999999,0.56899999999999995,,0.65700000000000003,4.1000000000000002E-2,0.16600000000000001,0.59,0.157,1.7000000000000001E-2,0.13500000000000001,0.30299999999999999,1.6890000000000001,1.92,1.262,3.9E-2,1.4910000000000001,2.79,2E-3,5.0000000000000001E-4,2E-3,1.446,1.8420000000000001,18.11,1.651,0.01,3.1E-2,0.98,0.111,0.01,0.01,0.65100000000000002,1.1479999999999999,5.87,1.2490000000000001,2.1000000000000001E-2,0.11799999999999999,0.33,0.13100000000000001,2.1999999999999999E-2,0.115,0.871,1.3859999999999999,2,1.2989999999999999
01/08/23 12:00,2.3E-2,0.02,1.575,8.5999999999999993E-2,8.9999999999999993E-3,5.8000000000000003E-2,0.23599999999999999,0.56899999999999995,7.5069999999999997,0.65700000000000003,4.1000000000000002E-2,0.16600000000000001,,0.157,1.7000000000000001E-2,0.13500000000000001,0.30299999999999999,1.6890000000000001,,1.262,3.9E-2,1.4910000000000001,,2E-3,5.0000000000000001E-4,2E-3,1.446,1.8420000000000001,,1.651,0.01,3.1E-2,,0.111,0.01,0.01,0.65100000000000002,1.1479999999999999,,1.2490000000000001,2.1000000000000001E-2,0.11799999999999999,0.38,0.13100000000000001,2.1999999999999999E-2,0.115,0.871,1.3859999999999999,2.35,1.2989999999999999
01/09/23 12:00,2.3E-2,0.02,,8.5999999999999993E-2,8.9999999999999993E-3,5.8000000000000003E-2,0.23599999999999999,0.56899999999999995,,0.65700000000000003,3.7999999999999999E-2,0.13800000000000001,0.93,0.11799999999999999,1.4E-2,0.13100000000000001,0.36199999999999999,1.917,6.06,1.276,2E-3,0.155,1.26,2E-3,5.0000000000000001E-4,2E-3,0.49099999999999999,1.3660000000000001,7,0.752,3.9E-2,8.3000000000000004E-2,1.58,9.9000000000000005E-2,1.5E-3,1.6E-2,0.66400000000000003,1.27,8.02,1.1559999999999999,0.01,8.1000000000000003E-2,0.53,0.107,1.2E-2,8.1000000000000003E-2,1.0389999999999999,1.75,3.13,1.3009999999999999
01/10/23 12:00,2.3E-2,0.02,0.42699999999999999,8.5999999999999993E-2,8.9999999999999993E-3,5.8000000000000003E-2,0.23599999999999999,0.56899999999999995,2.1720000000000002,0.65700000000000003,3.7999999999999999E-2,0.13800000000000001,,0.11799999999999999,1.4E-2,0.13100000000000001,0.36199999999999999,1.917,,1.276,2E-3,0.155,,2E-3,5.0000000000000001E-4,2E-3,0.49099999999999999,1.3660000000000001,,0.752,3.9E-2,8.3000000000000004E-2,,9.9000000000000005E-2,1.5E-3,1.6E-2,0.66400000000000003,1.27,,1.1559999999999999,0.01,8.1000000000000003E-2,1.1399999999999999,0.107,1.2E-2,8.1000000000000003E-2,1.0389999999999999,1.75,7.38,1.3009999999999999
01/11/23 12:00,2.3E-2,0.02,,8.5999999999999993E-2,8.9999999999999993E-3,5.8000000000000003E-2,0.23599999999999999,0.56899999999999995,,0.65700000000000003,3.7999999999999999E-2,0.13800000000000001,0.66,0.11799999999999999,1.4E-2,0.13100000000000001,0.36199999999999999,1.917,2.65,1.276,2E-3,0.155,1.63,2E-3,5.0000000000000001E-4,2E-3,0.49099999999999999,1.3660000000000001,8.15,0.752,3.9E-2,8.3000000000000004E-2,1.17,9.9000000000000005E-2,1.5E-3,1.6E-2,0.66400000000000003,1.27,5.55,1.1559999999999999,0.01,8.1000000000000003E-2,0.71,0.107,1.2E-2,8.1000000000000003E-2,1.0389999999999999,1.75,3.78,1.3009999999999999
01/12/23 12:00,2.3E-2,0.02,0.34699999999999998,8.5999999999999993E-2,8.9999999999999993E-3,5.8000000000000003E-2,0.23599999999999999,0.56899999999999995,2.0539999999999998,0.65700000000000003,3.7999999999999999E-2,0.13800000000000001,,0.11799999999999999,1.4E-2,0.13100000000000001,0.36199999999999999,1.917,,1.276,2E-3,0.155,,2E-3,5.0000000000000001E-4,2E-3,0.49099999999999999,1.3660000000000001,,0.752,3.9E-2,8.3000000000000004E-2,,9.9000000000000005E-2,1.5E-3,1.6E-2,0.66400000000000003,1.27,,1.1559999999999999,0.01,8.1000000000000003E-2,0.4,0.107,1.2E-2,8.1000000000000003E-2,1.0389999999999999,1.75,2.0299999999999998,1.3009999999999999
01/13/23 12:00,2.3E-2,0.02,,8.5999999999999993E-2,8.9999999999999993E-3,5.8000000000000003E-2,0.23599999999999999,0.56899999999999995,,0.65700000000000003,3.7999999999999999E-2,0.13800000000000001,0.43,0.11799999999999999,1.4E-2,0.13100000000000001,0.36199999999999999,1.917,1.22,1.276,2E-3,0.155,0.52,2E-3,5.0000000000000001E-4,2E-3,0.49099999999999999,1.3660000000000001,2.56,0.752,3.9E-2,8.3000000000000004E-2,1.02,9.9000000000000005E-2,1.5E-3,1.6E-2,0.66400000000000003,1.27,3.99,1.1559999999999999,0.01,8.1000000000000003E-2,0.41,0.107,1.2E-2,8.1000000000000003E-2,1.0389999999999999,1.75,2.2599999999999998,1.3009999999999999
01/14/23 12:00,1.0999999999999999E-2,4.2000000000000003E-2,0.36099999999999999,6.9000000000000006E-2,8.0000000000000002E-3,4.1000000000000002E-2,0.376,1.044,1.744,0.64200000000000002,3.7999999999999999E-2,0.13800000000000001,,0.11799999999999999,1.4E-2,0.13100000000000001,0.36199999999999999,1.917,,1.276,2E-3,0.155,,2E-3,5.0000000000000001E-4,2E-3,0.49099999999999999,1.3660000000000001,,0.752,3.9E-2,8.3000000000000004E-2,,9.9000000000000005E-2,1.5E-3,1.6E-2,0.66400000000000003,1.27,,1.1559999999999999,0.01,8.1000000000000003E-2,0.64,0.107,1.2E-2,8.1000000000000003E-2,1.0389999999999999,1.75,3.9,1.3009999999999999
01/15/23 12:00,1.0999999999999999E-2,4.2000000000000003E-2,,6.9000000000000006E-2,8.0000000000000002E-3,4.1000000000000002E-2,0.376,1.044,,0.64200000000000002,3.7999999999999999E-2,0.13800000000000001,0.39,0.11799999999999999,1.4E-2,0.13100000000000001,0.36199999999999999,1.917,1.65,1.276,2E-3,0.155,0.31,2E-3,5.0000000000000001E-4,2E-3,0.49099999999999999,1.3660000000000001,1.79,0.752,3.9E-2,8.3000000000000004E-2,0.66,9.9000000000000005E-2,1.5E-3,1.6E-2,0.66400000000000003,1.27,2.74,1.1559999999999999,0.01,8.1000000000000003E-2,0.65,0.107,1.2E-2,8.1000000000000003E-2,1.0389999999999999,1.75,4.3499999999999996,1.3009999999999999
01/16/23 12:00,1.0999999999999999E-2,4.2000000000000003E-2,0.51600000000000001,6.9000000000000006E-2,8.0000000000000002E-3,4.1000000000000002E-2,0.376,1.044,2.2240000000000002,0.64200000000000002,5.8999999999999997E-2,0.122,,0.13400000000000001,2.1999999999999999E-2,0.113,0.42399999999999999,2.4700000000000002,,1.3380000000000001,2.4E-2,4.0000000000000001E-3,,2E-3,5.0000000000000001E-4,2E-3,1.6479999999999999,0.2,,2.1999999999999999E-2,0.01,0.16600000000000001,,6.7000000000000004E-2,2.1000000000000001E-2,6.7000000000000004E-2,1.1459999999999999,1.9259999999999999,,1.7629999999999999,2.1000000000000001E-2,7.9000000000000001E-2,1.07,7.0999999999999994E-2,0.01,6.5000000000000002E-2,0.749,1.552,8.74,0.878
01/17/23 12:00,1.0999999999999999E-2,4.2000000000000003E-2,,6.9000000000000006E-2,8.0000000000000002E-3,4.1000000000000002E-2,0.376,1.044,,0.64200000000000002,5.8999999999999997E-2,0.122,0.74,0.13400000000000001,2.1999999999999999E-2,0.113,0.42399999999999999,2.4700000000000002,3.24,1.3380000000000001,2.4E-2,4.0000000000000001E-3,0.99,2E-3,5.0000000000000001E-4,2E-3,1.6479999999999999,0.2,5.76,2.1999999999999999E-2,0.01,0.16600000000000001,1.25,6.7000000000000004E-2,2.1000000000000001E-2,6.7000000000000004E-2,1.1459999999999999,1.9259999999999999,5.94,1.7629999999999999,2.1000000000000001E-2,7.9000000000000001E-2,2.04,7.0999999999999994E-2,0.01,6.5000000000000002E-2,0.749,1.552,14.7,0.878
01/18/23 12:00,1.0999999999999999E-2,4.2000000000000003E-2,1.244,6.9000000000000006E-2,8.0000000000000002E-3,4.1000000000000002E-2,0.376,1.044,7.024,0.64200000000000002,5.8999999999999997E-2,0.122,,0.13400000000000001,2.1999999999999999E-2,0.113,0.42399999999999999,2.4700000000000002,,1.3380000000000001,2.4E-2,4.0000000000000001E-3,,2E-3,5.0000000000000001E-4,2E-3,1.6479999999999999,0.2,,2.1999999999999999E-2,0.01,0.16600000000000001,,6.7000000000000004E-2,2.1000000000000001E-2,6.7000000000000004E-2,1.1459999999999999,1.9259999999999999,,1.7629999999999999,2.1000000000000001E-2,7.9000000000000001E-2,1.2,7.0999999999999994E-2,0.01,6.5000000000000002E-2,0.749,1.552,10.24,0.878
01/19/23 12:00,1.0999999999999999E-2,4.2000000000000003E-2,,6.9000000000000006E-2,8.0000000000000002E-3,4.1000000000000002E-2,0.376,1.044,,0.64200000000000002,5.8999999999999997E-2,0.122,1.1599999999999999,0.13400000000000001,2.1999999999999999E-2,0.113,0.42399999999999999,2.4700000000000002,5.05,1.3380000000000001,2.4E-2,4.0000000000000001E-3,1.62,2E-3,5.0000000000000001E-4,2E-3,1.6479999999999999,0.2,13.14,2.1999999999999999E-2,0.01,0.16600000000000001,1.1399999999999999,6.7000000000000004E-2,2.1000000000000001E-2,6.7000000000000004E-2,1.1459999999999999,1.9259999999999999,8.44,1.7629999999999999,2.1000000000000001E-2,7.9000000000000001E-2,1.1399999999999999,7.0999999999999994E-2,0.01,6.5000000000000002E-2,0.749,1.552,7.49,0.878
01/20/23 12:00,1.0999999999999999E-2,4.2000000000000003E-2,0.84799999999999998,6.9000000000000006E-2,8.0000000000000002E-3,4.1000000000000002E-2,0.376,1.044,4.9589999999999996,0.64200000000000002,5.8999999999999997E-2,0.122,,0.13400000000000001,2.1999999999999999E-2,0.113,0.42399999999999999,2.4700000000000002,,1.3380000000000001,2.4E-2,4.0000000000000001E-3,,2E-3,5.0000000000000001E-4,2E-3,1.6479999999999999,0.2,,2.1999999999999999E-2,0.01,0.16600000000000001,,6.7000000000000004E-2,2.1000000000000001E-2,6.7000000000000004E-2,1.1459999999999999,1.9259999999999999,,1.7629999999999999,2.1000000000000001E-2,7.9000000000000001E-2,1.01,7.0999999999999994E-2,0.01,6.5000000000000002E-2,0.749,1.552,7.54,0.878
01/21/23 12:00,2E-3,5.5E-2,,0.09,6.0000000000000001E-3,2.7E-2,1.2330000000000001,1.9139999999999999,,2.8029999999999999,5.8999999999999997E-2,0.122,0.56000000000000005,0.13400000000000001,2.1999999999999999E-2,0.113,0.42399999999999999,2.4700000000000002,2.76,1.3380000000000001,2.4E-2,4.0000000000000001E-3,1.37,2E-3,5.0000000000000001E-4,2E-3,1.6479999999999999,0.2,10.37,2.1999999999999999E-2,0.01,0.16600000000000001,0.67,6.7000000000000004E-2,2.1000000000000001E-2,6.7000000000000004E-2,1.1459999999999999,1.9259999999999999,4.55,1.7629999999999999,2.1000000000000001E-2,7.9000000000000001E-2,0.99,7.0999999999999994E-2,0.01,6.5000000000000002E-2,0.749,1.552,6.68,0.878
01/22/23 12:00,2E-3,5.5E-2,0.48299999999999998,0.09,6.0000000000000001E-3,2.7E-2,1.2330000000000001,1.9139999999999999,2.9769999999999999,2.8029999999999999,5.8999999999999997E-2,0.122,,0.13400000000000001,2.1999999999999999E-2,0.113,0.42399999999999999,2.4700000000000002,,1.3380000000000001,2.4E-2,4.0000000000000001E-3,,2E-3,5.0000000000000001E-4,2E-3,1.6479999999999999,0.2,,2.1999999999999999E-2,0.01,0.16600000000000001,,6.7000000000000004E-2,2.1000000000000001E-2,6.7000000000000004E-2,1.1459999999999999,1.9259999999999999,,1.7629999999999999,2.1000000000000001E-2,7.9000000000000001E-2,0.48,7.0999999999999994E-2,0.01,6.5000000000000002E-2,0.749,1.552,2.87,0.878
01/23/23 12:00,2E-3,5.5E-2,,0.09,6.0000000000000001E-3,2.7E-2,1.2330000000000001,1.9139999999999999,,2.8029999999999999,7.1999999999999995E-2,8.6999999999999994E-2,0.74,0.113,1.4999999999999999E-2,6.4000000000000001E-2,0.54500000000000004,1.9950000000000001,3,2.17,0.52100000000000002,0.57299999999999995,1.75,2E-3,5.0000000000000001E-4,1.034,1.83,2.1179999999999999,9.23,3.2669999999999999,0.01,1.4999999999999999E-2,0.71,7.2999999999999995E-2,1.5E-3,2.9000000000000001E-2,1.3320000000000001,1.444,3.29,2.6640000000000001,1.9E-2,8.6999999999999994E-2,0.45,9.2999999999999999E-2,8.0000000000000002E-3,0.06,2.2930000000000001,3.5129999999999999,2.91,2.1789999999999998
01/24/23 12:00,2E-3,5.5E-2,0.98299999999999998,0.09,6.0000000000000001E-3,2.7E-2,1.2330000000000001,1.9139999999999999,6.1289999999999996,2.8029999999999999,7.1999999999999995E-2,8.6999999999999994E-2,,0.113,1.4999999999999999E-2,6.4000000000000001E-2,0.54500000000000004,1.9950000000000001,,2.17,0.52100000000000002,0.57299999999999995,,2E-3,5.0000000000000001E-4,1.034,1.83,2.1179999999999999,,3.2669999999999999,0.01,1.4999999999999999E-2,,7.2999999999999995E-2,1.5E-3,2.9000000000000001E-2,1.3320000000000001,1.444,,2.6640000000000001,1.9E-2,8.6999999999999994E-2,0.16,9.2999999999999999E-2,8.0000000000000002E-3,0.06,2.2930000000000001,3.5129999999999999,1.03,2.1789999999999998
01/25/23 12:00,2E-3,5.5E-2,,0.09,6.0000000000000001E-3,2.7E-2,1.2330000000000001,1.9139999999999999,,2.8029999999999999,7.1999999999999995E-2,8.6999999999999994E-2,0.35,0.113,1.4999999999999999E-2,6.4000000000000001E-2,0.54500000000000004,1.9950000000000001,2.4500000000000002,2.17,0.52100000000000002,0.57299999999999995,1.02,2E-3,5.0000000000000001E-4,1.034,1.83,2.1179999999999999,5.57,3.2669999999999999,0.01,1.4999999999999999E-2,0.4,7.2999999999999995E-2,1.5E-3,2.9000000000000001E-2,1.3320000000000001,1.444,2.98,2.6640000000000001,1.9E-2,8.6999999999999994E-2,0.17,9.2999999999999999E-2,8.0000000000000002E-3,0.06,2.2930000000000001,3.5129999999999999,0.87,2.1789999999999998
01/26/23 12:00,2E-3,5.5E-2,0.58199999999999996,0.09,6.0000000000000001E-3,2.7E-2,1.2330000000000001,1.9139999999999999,4.048,2.8029999999999999,7.1999999999999995E-2,8.6999999999999994E-2,,0.113,1.4999999999999999E-2,6.4000000000000001E-2,0.54500000000000004,1.9950000000000001,,2.17,0.52100000000000002,0.57299999999999995,,2E-3,5.0000000000000001E-4,1.034,1.83,2.1179999999999999,,3.2669999999999999,0.01,1.4999999999999999E-2,,7.2999999999999995E-2,1.5E-3,2.9000000000000001E-2,1.3320000000000001,1.444,,2.6640000000000001,1.9E-2,8.6999999999999994E-2,0.49,9.2999999999999999E-2,8.0000000000000002E-3,0.06,2.2930000000000001,3.5129999999999999,2.7,2.1789999999999998
01/27/23 12:00,2E-3,5.5E-2,,0.09,6.0000000000000001E-3,2.7E-2,1.2330000000000001,1.9139999999999999,,2.8029999999999999,7.1999999999999995E-2,8.6999999999999994E-2,0.56000000000000005,0.113,1.4999999999999999E-2,6.4000000000000001E-2,0.54500000000000004,1.9950000000000001,2.1800000000000002,2.17,0.52100000000000002,0.57299999999999995,1.61,2E-3,5.0000000000000001E-4,1.034,1.83,2.1179999999999999,12.52,3.2669999999999999,0.01,1.4999999999999999E-2,0.71,7.2999999999999995E-2,1.5E-3,2.9000000000000001E-2,1.3320000000000001,1.444,5.49,2.6640000000000001,1.9E-2,8.6999999999999994E-2,0.43,9.2999999999999999E-2,8.0000000000000002E-3,0.06,2.2930000000000001,3.5129999999999999,2.76,2.1789999999999998
01/28/23 12:00,3.0000000000000001E-3,0.111,0.64800000000000002,0.04,6.0999999999999999E-2,9.5000000000000001E-2,0.38300000000000001,1.0389999999999999,3.032,0.95,7.1999999999999995E-2,8.6999999999999994E-2,,0.113,1.4999999999999999E-2,6.4000000000000001E-2,0.54500000000000004,1.9950000000000001,,2.17,0.52100000000000002,0.57299999999999995,,2E-3,5.0000000000000001E-4,1.034,1.83,2.1179999999999999,,3.2669999999999999,0.01,1.4999999999999999E-2,,7.2999999999999995E-2,1.5E-3,2.9000000000000001E-2,1.3320000000000001,1.444,,2.6640000000000001,1.9E-2,8.6999999999999994E-2,0.45,9.2999999999999999E-2,8.0000000000000002E-3,0.06,2.2930000000000001,3.5129999999999999,2.91,2.1789999999999998
01/29/23 12:00,3.0000000000000001E-3,0.111,,0.04,6.0999999999999999E-2,9.5000000000000001E-2,0.38300000000000001,1.0389999999999999,,0.95,7.1999999999999995E-2,8.6999999999999994E-2,0.3,0.113,1.4999999999999999E-2,6.4000000000000001E-2,0.54500000000000004,1.9950000000000001,1.87,2.17,0.52100000000000002,0.57299999999999995,0.43,2E-3,5.0000000000000001E-4,1.034,1.83,2.1179999999999999,3,3.2669999999999999,0.01,1.4999999999999999E-2,0.56000000000000005,7.2999999999999995E-2,1.5E-3,2.9000000000000001E-2,1.3320000000000001,1.444,3.23,2.6640000000000001,1.9E-2,8.6999999999999994E-2,0.36,9.2999999999999999E-2,8.0000000000000002E-3,0.06,2.2930000000000001,3.5129999999999999,2.58,2.1789999999999998
