Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
01/06/23 12:00,3.0679999999999999E-2,2.325E-2,1.91E-3,2.181E-2,1.0919999999999999E-2,9.5099999999999994E-3,1.1990000000000001E-2,7.9600000000000001E-3,3.31E-3,4.28E-3,1.58E-3,2.5300000000000001E-3,3.3600000000000001E-3,6.3499999999999997E-3,9.2399999999999999E-3,2.6800000000000001E-3,,7.7600000000000004E-3,8.6E-3,1E-3,4.1900000000000001E-3,9.1800000000000007E-3,2.2800000000000001E-2,1.404E-2,4.6699999999999997E-3,1.363E-2,6.6699999999999997E-3,3.2799999999999999E-3,6.8500000000000002E-3,4.2300000000000003E-3,5.2300000000000003E-3,5.2399999999999999E-3,1E-3,2.4499999999999999E-3,5.9300000000000004E-3,8.6199999999999992E-3,6.2199999999999998E-3,3.6900000000000001E-3,1.7999999999999999E-2,9.3699999999999999E-3,7.2700000000000004E-3,1.123E-2,2.145E-2,3.7359999999999997E-2,2.3640000000000001E-2,1.958E-2,2.0379999999999999E-2,1.218E-2,1.2449999999999999E-2,5.0699999999999999E-3,2.8300000000000001E-3,2.32E-3,2E-3,1.7690000000000001E-2,6.5700000000000003E-3,8.8500000000000002E-3,2.5100000000000001E-3,1E-3,3.14E-3
01/07/23 12:00,3.0679999999999999E-2,2.325E-2,1.91E-3,2.181E-2,1.0919999999999999E-2,9.5099999999999994E-3,1.1990000000000001E-2,7.9600000000000001E-3,3.31E-3,4.28E-3,1.58E-3,2.5300000000000001E-3,3.3600000000000001E-3,6.3499999999999997E-3,9.2399999999999999E-3,2.6800000000000001E-3,,7.7600000000000004E-3,8.6E-3,1E-3,4.1900000000000001E-3,9.1800000000000007E-3,2.2800000000000001E-2,1.404E-2,4.6699999999999997E-3,1.363E-2,6.6699999999999997E-3,3.2799999999999999E-3,6.8500000000000002E-3,4.2300000000000003E-3,5.2300000000000003E-3,5.2399999999999999E-3,1E-3,,5.9300000000000004E-3,8.6199999999999992E-3,6.2199999999999998E-3,3.6900000000000001E-3,1.7999999999999999E-2,9.3699999999999999E-3,7.2700000000000004E-3,1.123E-2,2.145E-2,3.7359999999999997E-2,2.3640000000000001E-2,1.958E-2,2.0379999999999999E-2,1.218E-2,1.2449999999999999E-2,5.0699999999999999E-3,2.8300000000000001E-3,2.32E-3,2E-3,1.7690000000000001E-2,6.5700000000000003E-3,8.8500000000000002E-3,2.5100000000000001E-3,1E-3,3.14E-3
01/08/23 12:00,3.0679999999999999E-2,2.325E-2,1.91E-3,2.181E-2,1.0919999999999999E-2,9.5099999999999994E-3,1.1990000000000001E-2,7.9600000000000001E-3,3.31E-3,4.28E-3,1.58E-3,2.5300000000000001E-3,3.3600000000000001E-3,6.3499999999999997E-3,9.2399999999999999E-3,2.6800000000000001E-3,,7.7600000000000004E-3,8.6E-3,1E-3,4.1900000000000001E-3,9.1800000000000007E-3,2.2800000000000001E-2,1.404E-2,4.6699999999999997E-3,1.363E-2,6.6699999999999997E-3,3.2799999999999999E-3,6.8500000000000002E-3,4.2300000000000003E-3,5.2300000000000003E-3,5.2399999999999999E-3,1E-3,2.4499999999999999E-3,5.9300000000000004E-3,8.6199999999999992E-3,6.2199999999999998E-3,3.6900000000000001E-3,1.7999999999999999E-2,9.3699999999999999E-3,7.2700000000000004E-3,1.123E-2,2.145E-2,3.7359999999999997E-2,2.3640000000000001E-2,1.958E-2,2.0379999999999999E-2,1.218E-2,,5.0699999999999999E-3,2.8300000000000001E-3,2.32E-3,2E-3,1.7690000000000001E-2,6.5700000000000003E-3,8.8500000000000002E-3,2.5100000000000001E-3,1E-3,3.14E-3
01/09/23 12:00,5.4000000000000003E-3,6.0720000000000003E-2,1.42E-3,1.6289999999999999E-2,7.3600000000000002E-3,3.81E-3,6.8199999999999997E-3,5.7499999999999999E-3,5.8799999999999998E-3,5.1200000000000004E-3,1.5E-3,2.6099999999999999E-3,3.2499999999999999E-3,6.3099999999999996E-3,1.056E-2,2.1900000000000001E-3,,3.8300000000000001E-3,9.6399999999999993E-3,1E-3,3.8999999999999998E-3,6.8300000000000001E-3,1.7649999999999999E-2,8.26E-3,3.49E-3,1.363E-2,6.4700000000000001E-3,5.1000000000000004E-3,6.3499999999999997E-3,4.8300000000000001E-3,4.9500000000000004E-3,4.1000000000000003E-3,2.9299999999999999E-3,5.0899999999999999E-3,6.2300000000000003E-3,8.0400000000000003E-3,4.4999999999999997E-3,3.9699999999999996E-3,1.8100000000000002E-2,9.7999999999999997E-3,1.2070000000000001E-2,4.4060000000000002E-2,1.6330000000000001E-2,2.8469999999999999E-2,8.6999999999999994E-3,3.2590000000000001E-2,1.252E-2,1.077E-2,1.5779999999999999E-2,7.3600000000000002E-3,5.1799999999999997E-3,3.9500000000000004E-3,3.0000000000000001E-3,1.2239999999999999E-2,5.3499999999999997E-3,8.1899999999999994E-3,2.6199999999999999E-3,1E-3,2.9099999999999998E-3
01/10/23 12:00,5.4000000000000003E-3,6.0720000000000003E-2,1.42E-3,1.6289999999999999E-2,7.3600000000000002E-3,3.81E-3,6.8199999999999997E-3,5.7499999999999999E-3,5.8799999999999998E-3,5.1200000000000004E-3,1.5E-3,2.6099999999999999E-3,3.2499999999999999E-3,6.3099999999999996E-3,1.056E-2,2.1900000000000001E-3,,3.8300000000000001E-3,9.6399999999999993E-3,1E-3,3.8999999999999998E-3,6.8300000000000001E-3,1.7649999999999999E-2,8.26E-3,3.49E-3,1.363E-2,6.4700000000000001E-3,5.1000000000000004E-3,6.3499999999999997E-3,4.8300000000000001E-3,4.9500000000000004E-3,4.1000000000000003E-3,2.9299999999999999E-3,5.0899999999999999E-3,6.2300000000000003E-3,8.0400000000000003E-3,4.4999999999999997E-3,3.9699999999999996E-3,1.8100000000000002E-2,9.7999999999999997E-3,1.2070000000000001E-2,4.4060000000000002E-2,1.6330000000000001E-2,2.8469999999999999E-2,8.6999999999999994E-3,3.2590000000000001E-2,1.252E-2,1.077E-2,1.5779999999999999E-2,7.3600000000000002E-3,5.1799999999999997E-3,3.9500000000000004E-3,3.0000000000000001E-3,1.2239999999999999E-2,5.3499999999999997E-3,8.1899999999999994E-3,2.6199999999999999E-3,1E-3,2.9099999999999998E-3
01/11/23 12:00,5.4000000000000003E-3,6.0720000000000003E-2,1.42E-3,1.6289999999999999E-2,7.3600000000000002E-3,3.81E-3,6.8199999999999997E-3,5.7499999999999999E-3,5.8799999999999998E-3,5.1200000000000004E-3,1.5E-3,2.6099999999999999E-3,3.2499999999999999E-3,6.3099999999999996E-3,1.056E-2,2.1900000000000001E-3,,3.8300000000000001E-3,9.6399999999999993E-3,1E-3,3.8999999999999998E-3,6.8300000000000001E-3,1.7649999999999999E-2,8.26E-3,3.49E-3,1.363E-2,6.4700000000000001E-3,5.1000000000000004E-3,6.3499999999999997E-3,4.8300000000000001E-3,4.9500000000000004E-3,4.1000000000000003E-3,2.9299999999999999E-3,5.0899999999999999E-3,6.2300000000000003E-3,8.0400000000000003E-3,4.4999999999999997E-3,3.9699999999999996E-3,1.8100000000000002E-2,9.7999999999999997E-3,1.2070000000000001E-2,4.4060000000000002E-2,1.6330000000000001E-2,2.8469999999999999E-2,8.6999999999999994E-3,3.2590000000000001E-2,1.252E-2,1.077E-2,1.5779999999999999E-2,7.3600000000000002E-3,5.1799999999999997E-3,3.9500000000000004E-3,3.0000000000000001E-3,1.2239999999999999E-2,5.3499999999999997E-3,8.1899999999999994E-3,2.6199999999999999E-3,1E-3,2.9099999999999998E-3
01/12/23 12:00,5.4000000000000003E-3,6.0720000000000003E-2,1.42E-3,1.6289999999999999E-2,7.3600000000000002E-3,3.81E-3,6.8199999999999997E-3,5.7499999999999999E-3,5.8799999999999998E-3,5.1200000000000004E-3,1.5E-3,2.6099999999999999E-3,3.2499999999999999E-3,6.3099999999999996E-3,1.056E-2,2.1900000000000001E-3,1E-3,3.8300000000000001E-3,9.6399999999999993E-3,1E-3,3.8999999999999998E-3,6.8300000000000001E-3,1.7649999999999999E-2,8.26E-3,3.49E-3,1.363E-2,6.4700000000000001E-3,5.1000000000000004E-3,6.3499999999999997E-3,4.8300000000000001E-3,4.9500000000000004E-3,4.1000000000000003E-3,2.9299999999999999E-3,5.0899999999999999E-3,6.2300000000000003E-3,8.0400000000000003E-3,4.4999999999999997E-3,3.9699999999999996E-3,1.8100000000000002E-2,9.7999999999999997E-3,1.2070000000000001E-2,4.4060000000000002E-2,1.6330000000000001E-2,2.8469999999999999E-2,8.6999999999999994E-3,3.2590000000000001E-2,1.252E-2,1.077E-2,1.5779999999999999E-2,7.3600000000000002E-3,5.1799999999999997E-3,3.9500000000000004E-3,3.0000000000000001E-3,1.2239999999999999E-2,5.3499999999999997E-3,8.1899999999999994E-3,2.6199999999999999E-3,1E-3,2.9099999999999998E-3
01/13/23 12:00,5.4000000000000003E-3,6.0720000000000003E-2,1.42E-3,1.6289999999999999E-2,7.3600000000000002E-3,3.81E-3,6.8199999999999997E-3,5.7499999999999999E-3,5.8799999999999998E-3,5.1200000000000004E-3,1.5E-3,2.6099999999999999E-3,3.2499999999999999E-3,6.3099999999999996E-3,1.056E-2,2.1900000000000001E-3,1E-3,3.8300000000000001E-3,9.6399999999999993E-3,1E-3,3.8999999999999998E-3,6.8300000000000001E-3,1.7649999999999999E-2,8.26E-3,3.49E-3,1.363E-2,6.4700000000000001E-3,5.1000000000000004E-3,6.3499999999999997E-3,4.8300000000000001E-3,4.9500000000000004E-3,4.1000000000000003E-3,2.9299999999999999E-3,5.0899999999999999E-3,6.2300000000000003E-3,8.0400000000000003E-3,4.4999999999999997E-3,3.9699999999999996E-3,1.8100000000000002E-2,9.7999999999999997E-3,1.2070000000000001E-2,4.4060000000000002E-2,1.6330000000000001E-2,2.8469999999999999E-2,8.6999999999999994E-3,,1.252E-2,1.077E-2,1.5779999999999999E-2,7.3600000000000002E-3,5.1799999999999997E-3,3.9500000000000004E-3,3.0000000000000001E-3,1.2239999999999999E-2,5.3499999999999997E-3,8.1899999999999994E-3,2.6199999999999999E-3,1E-3,2.9099999999999998E-3
01/14/23 12:00,5.4000000000000003E-3,6.0720000000000003E-2,1.42E-3,1.6289999999999999E-2,7.3600000000000002E-3,3.81E-3,6.8199999999999997E-3,5.7499999999999999E-3,5.8799999999999998E-3,5.1200000000000004E-3,1.5E-3,2.6099999999999999E-3,3.2499999999999999E-3,6.3099999999999996E-3,1.056E-2,2.1900000000000001E-3,1E-3,3.8300000000000001E-3,9.6399999999999993E-3,1E-3,3.8999999999999998E-3,6.8300000000000001E-3,1.7649999999999999E-2,8.26E-3,3.49E-3,1.363E-2,6.4700000000000001E-3,5.1000000000000004E-3,6.3499999999999997E-3,4.8300000000000001E-3,4.9500000000000004E-3,4.1000000000000003E-3,2.9299999999999999E-3,5.0899999999999999E-3,6.2300000000000003E-3,8.0400000000000003E-3,4.4999999999999997E-3,3.9699999999999996E-3,1.8100000000000002E-2,9.7999999999999997E-3,1.2070000000000001E-2,4.4060000000000002E-2,1.6330000000000001E-2,2.8469999999999999E-2,8.6999999999999994E-3,3.2590000000000001E-2,1.252E-2,1.077E-2,1.5779999999999999E-2,7.3600000000000002E-3,5.1799999999999997E-3,3.9500000000000004E-3,3.0000000000000001E-3,1.2239999999999999E-2,5.3499999999999997E-3,8.1899999999999994E-3,2.6199999999999999E-3,1E-3,2.9099999999999998E-3
01/15/23 12:00,5.4000000000000003E-3,6.0720000000000003E-2,1.42E-3,1.6289999999999999E-2,7.3600000000000002E-3,3.81E-3,6.8199999999999997E-3,5.7499999999999999E-3,5.8799999999999998E-3,5.1200000000000004E-3,1.5E-3,2.6099999999999999E-3,3.2499999999999999E-3,6.3099999999999996E-3,1.056E-2,2.1900000000000001E-3,1E-3,3.8300000000000001E-3,9.6399999999999993E-3,1E-3,3.8999999999999998E-3,6.8300000000000001E-3,1.7649999999999999E-2,8.26E-3,3.49E-3,1.363E-2,6.4700000000000001E-3,5.1000000000000004E-3,6.3499999999999997E-3,4.8300000000000001E-3,4.9500000000000004E-3,4.1000000000000003E-3,2.9299999999999999E-3,5.0899999999999999E-3,6.2300000000000003E-3,8.0400000000000003E-3,4.4999999999999997E-3,3.9699999999999996E-3,1.8100000000000002E-2,9.7999999999999997E-3,1.2070000000000001E-2,4.4060000000000002E-2,1.6330000000000001E-2,2.8469999999999999E-2,8.6999999999999994E-3,,1.252E-2,1.077E-2,1.5779999999999999E-2,7.3600000000000002E-3,5.1799999999999997E-3,3.9500000000000004E-3,3.0000000000000001E-3,1.2239999999999999E-2,5.3499999999999997E-3,8.1899999999999994E-3,2.6199999999999999E-3,1E-3,2.9099999999999998E-3
01/16/23 12:00,1.2869999999999999E-2,1.772E-2,9.9399999999999992E-3,2.445E-2,1.669E-2,1.304E-2,1.069E-2,7.1599999999999997E-3,1.0109999999999999E-2,6.6E-3,1.6900000000000001E-3,3.49E-3,3.81E-3,1.278E-2,1.272E-2,3.5599999999999998E-3,2.2899999999999999E-3,1.051E-2,8.8400000000000006E-3,4.0499999999999998E-3,5.6100000000000004E-3,1.302E-2,2.3609999999999999E-2,8.9300000000000004E-3,4.7299999999999998E-3,1.3480000000000001E-2,6.8300000000000001E-3,4.1700000000000001E-3,5.8999999999999999E-3,5.4400000000000004E-3,1.694E-2,1.738E-2,2.2699999999999999E-3,3.9100000000000003E-3,6.6800000000000002E-3,9.0600000000000003E-3,6.4099999999999999E-3,6.1799999999999997E-3,1.8700000000000001E-2,8.6199999999999992E-3,7.1300000000000001E-3,1.282E-2,1.4489999999999999E-2,2.0760000000000001E-2,2.3619999999999999E-2,4.7780000000000003E-2,3.3270000000000001E-2,3.5569999999999997E-2,7.2830000000000006E-2,1.23E-2,4.4200000000000003E-3,3.64E-3,2E-3,1.7049999999999999E-2,9.58E-3,,3.1700000000000001E-3,3.0799999999999998E-3,2.49E-3
01/17/23 12:00,1.2869999999999999E-2,1.772E-2,9.9399999999999992E-3,2.445E-2,1.669E-2,1.304E-2,1.069E-2,7.1599999999999997E-3,1.0109999999999999E-2,6.6E-3,1.6900000000000001E-3,3.49E-3,3.81E-3,1.278E-2,1.272E-2,3.5599999999999998E-3,2.2899999999999999E-3,1.051E-2,8.8400000000000006E-3,4.0499999999999998E-3,5.6100000000000004E-3,1.302E-2,2.3609999999999999E-2,8.9300000000000004E-3,4.7299999999999998E-3,1.3480000000000001E-2,6.8300000000000001E-3,4.1700000000000001E-3,5.8999999999999999E-3,5.4400000000000004E-3,1.694E-2,1.738E-2,2.2699999999999999E-3,,6.6800000000000002E-3,9.0600000000000003E-3,6.4099999999999999E-3,6.1799999999999997E-3,1.8700000000000001E-2,8.6199999999999992E-3,7.1300000000000001E-3,1.282E-2,,2.0760000000000001E-2,2.3619999999999999E-2,4.7780000000000003E-2,3.3270000000000001E-2,3.5569999999999997E-2,7.2830000000000006E-2,1.23E-2,4.4200000000000003E-3,3.64E-3,2E-3,1.7049999999999999E-2,9.58E-3,1.191E-2,3.1700000000000001E-3,3.0799999999999998E-3,2.49E-3
