Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
01/06/23 12:00,5.93,3.79,1.81,3.2,0.5,3,4.3899999999999997,2.4500000000000002,1.1299999999999999,1.2,0.45,0.5,0.5,1.51,1.71,1.2,,8.5500000000000007,6.23,0.5,2.66,1.59,1.94,1.81,0.5,1.76,0.5,0.5,1.03,0.5,2.41,2.13,0.5,0.5,0.5,1.02,1.08,1.01,1.4,1.84,1.21,1.57,1.44,1.38,0.7,1.39,1.89,5.08,2.89,0.5,0.5,0.5,0.34,3.24,3.71,1.68,0.5,0.5,1.1399999999999999
01/07/23 12:00,5.93,3.79,1.81,3.2,0.5,3,4.3899999999999997,2.4500000000000002,1.1299999999999999,1.2,0.45,0.5,0.5,1.51,1.71,1.2,,8.5500000000000007,6.23,0.5,2.66,1.59,1.94,1.81,0.5,1.76,0.5,0.5,1.03,0.5,2.41,2.13,0.5,,0.5,1.02,1.08,1.01,1.4,1.84,1.21,1.57,1.44,1.38,0.7,1.39,1.89,5.08,2.89,0.5,0.5,0.5,0.34,3.24,3.71,1.68,0.5,0.5,1.1399999999999999
01/08/23 12:00,5.93,3.79,1.81,3.2,0.5,3,4.3899999999999997,2.4500000000000002,1.1299999999999999,1.2,0.45,0.5,0.5,1.51,1.71,1.2,,8.5500000000000007,6.23,0.5,2.66,1.59,1.94,1.81,0.5,1.76,0.5,0.5,1.03,0.5,2.41,2.13,0.5,0.5,0.5,1.02,1.08,1.01,1.4,1.84,1.21,1.57,1.44,1.38,0.7,1.39,1.89,5.08,,0.5,0.5,0.5,0.34,3.24,3.71,1.68,0.5,0.5,1.1399999999999999
01/09/23 12:00,1.8,7.78,2.08,3.44,0.5,1.06,1.98,1.41,1.25,1.57,0.37,0.5,0.5,1.49,1.84,1.08,,4.26,7.71,0.5,1.1000000000000001,0.5,1.1299999999999999,1.03,0.5,1.19,1.07,1.26,0.5,0.5,1.51,1.34,0.5,0.5,0.5,0.5,0.5,0.5,1.6,1.68,1.39,0.5,0.5,1.92,1.01,1.1000000000000001,0.5,0.5,1.62,1.36,1.24,0.5,0.56000000000000005,3.08,4.32,1.33,0.5,0.5,0.5
01/10/23 12:00,1.8,7.78,2.08,3.44,0.5,1.06,1.98,1.41,1.25,1.57,0.37,0.5,0.5,1.49,1.84,1.08,,4.26,7.71,0.5,1.1000000000000001,0.5,1.1299999999999999,1.03,0.5,1.19,1.07,1.26,0.5,0.5,1.51,1.34,0.5,0.5,0.5,0.5,0.5,0.5,1.6,1.68,1.39,0.5,0.5,1.92,1.01,1.1000000000000001,0.5,0.5,1.62,1.36,1.24,0.5,0.56000000000000005,3.08,4.32,1.33,0.5,0.5,0.5
01/11/23 12:00,1.8,7.78,2.08,3.44,0.5,1.06,1.98,1.41,1.25,1.57,0.37,0.5,0.5,1.49,1.84,1.08,,4.26,7.71,0.5,1.1000000000000001,0.5,1.1299999999999999,1.03,0.5,1.19,1.07,1.26,0.5,0.5,1.51,1.34,0.5,0.5,0.5,0.5,0.5,0.5,1.6,1.68,1.39,0.5,0.5,1.92,1.01,1.1000000000000001,0.5,0.5,1.62,1.36,1.24,0.5,0.56000000000000005,3.08,4.32,1.33,0.5,0.5,0.5
01/12/23 12:00,1.8,7.78,2.08,3.44,0.5,1.06,1.98,1.41,1.25,1.57,0.37,0.5,0.5,1.49,1.84,1.08,0.5,4.26,7.71,0.5,1.1000000000000001,0.5,1.1299999999999999,1.03,0.5,1.19,1.07,1.26,0.5,0.5,1.51,1.34,0.5,0.5,0.5,0.5,0.5,0.5,1.6,1.68,1.39,0.5,0.5,1.92,1.01,1.1000000000000001,0.5,0.5,1.62,1.36,1.24,0.5,0.56000000000000005,3.08,4.32,1.33,0.5,0.5,0.5
01/13/23 12:00,1.8,7.78,2.08,3.44,0.5,1.06,1.98,1.41,1.25,1.57,0.37,0.5,0.5,1.49,1.84,1.08,0.5,4.26,7.71,0.5,1.1000000000000001,0.5,1.1299999999999999,1.03,0.5,1.19,1.07,1.26,0.5,0.5,1.51,1.34,0.5,0.5,0.5,0.5,0.5,0.5,1.6,1.68,1.39,0.5,0.5,1.92,1.01,,0.5,0.5,1.62,1.36,1.24,0.5,0.56000000000000005,3.08,4.32,1.33,0.5,0.5,0.5
01/14/23 12:00,1.8,7.78,2.08,3.44,0.5,1.06,1.98,1.41,1.25,1.57,0.37,0.5,0.5,1.49,1.84,1.08,0.5,4.26,7.71,0.5,1.1000000000000001,0.5,1.1299999999999999,1.03,0.5,1.19,1.07,1.26,0.5,0.5,1.51,1.34,0.5,0.5,0.5,0.5,0.5,0.5,1.6,1.68,1.39,0.5,0.5,1.92,1.01,1.1000000000000001,0.5,0.5,1.62,1.36,1.24,0.5,0.56000000000000005,3.08,4.32,1.33,0.5,0.5,0.5
01/15/23 12:00,1.8,7.78,2.08,3.44,0.5,1.06,1.98,1.41,1.25,1.57,0.37,0.5,0.5,1.49,1.84,1.08,0.5,4.26,7.71,0.5,1.1000000000000001,0.5,1.1299999999999999,1.03,0.5,1.19,1.07,1.26,0.5,0.5,1.51,1.34,0.5,0.5,0.5,0.5,0.5,0.5,1.6,1.68,1.39,0.5,0.5,1.92,1.01,,0.5,0.5,1.62,1.36,1.24,0.5,0.56000000000000005,3.08,4.32,1.33,0.5,0.5,0.5
01/16/23 12:00,3.48,6.5,3.56,8,2.2200000000000002,4.8499999999999996,2.42,1.41,1.38,1.38,0.34,1.74,1.6,1.67,2.61,0.5,1.34,11.02,8.1,2.61,6.37,1.1200000000000001,1.67,1.24,0.5,1.25,0.5,0.5,0.5,0.5,4.5599999999999996,7.94,0.5,0.5,0.5,0.5,0.5,0.5,1,1.36,0.5,1.1399999999999999,1.23,1.79,0.5,0.5,0.5,1.21,1.57,0.5,0.5,0.5,0.26,4.7,6.3,,0.5,0.5,0.5
01/17/23 12:00,3.48,6.5,3.56,8,2.2200000000000002,4.8499999999999996,2.42,1.41,1.38,1.38,0.34,1.74,1.6,1.67,2.61,0.5,1.34,11.02,8.1,2.61,6.37,1.1200000000000001,1.67,1.24,0.5,1.25,0.5,0.5,0.5,0.5,4.5599999999999996,7.94,0.5,,0.5,0.5,0.5,0.5,1,1.36,0.5,1.1399999999999999,,1.79,0.5,0.5,0.5,1.21,1.57,0.5,0.5,0.5,0.26,4.7,6.3,1.51,0.5,0.5,0.5
01/18/23 12:00,3.48,6.5,3.56,8,2.2200000000000002,4.8499999999999996,2.42,1.41,1.38,1.38,0.34,1.74,1.6,1.67,2.61,0.5,1.34,11.02,8.1,2.61,6.37,1.1200000000000001,1.67,1.24,0.5,1.25,0.5,0.5,0.5,0.5,4.5599999999999996,7.94,0.5,0.5,0.5,0.5,0.5,0.5,1,1.36,0.5,1.1399999999999999,1.23,1.79,0.5,0.5,0.5,1.21,1.57,0.5,0.5,0.5,0.26,4.7,6.3,1.51,0.5,0.5,0.5
01/19/23 12:00,3.48,6.5,3.56,8,2.2200000000000002,4.8499999999999996,2.42,1.41,1.38,1.38,0.34,1.74,1.6,1.67,2.61,0.5,1.34,11.02,8.1,2.61,6.37,1.1200000000000001,1.67,1.24,0.5,1.25,0.5,0.5,0.5,0.5,4.5599999999999996,7.94,0.5,0.5,0.5,0.5,0.5,0.5,1,1.36,0.5,1.1399999999999999,1.23,1.79,0.5,0.5,0.5,1.21,1.57,0.5,0.5,0.5,0.26,4.7,6.3,1.51,0.5,0.5,0.5
01/20/23 12:00,3.48,6.5,3.56,8,2.2200000000000002,4.8499999999999996,2.42,1.41,1.38,1.38,0.34,1.74,1.6,1.67,2.61,0.5,1.34,11.02,8.1,2.61,6.37,1.1200000000000001,1.67,1.24,,1.25,0.5,0.5,0.5,0.5,4.5599999999999996,7.94,0.5,0.5,0.5,0.5,0.5,0.5,1,1.36,0.5,1.1399999999999999,1.23,1.79,0.5,0.5,0.5,1.21,1.57,0.5,0.5,0.5,0.26,4.7,6.3,1.51,0.5,0.5,0.5
01/21/23 12:00,3.48,6.5,3.56,8,2.2200000000000002,4.8499999999999996,2.42,1.41,1.38,1.38,0.34,1.74,1.6,1.67,2.61,0.5,1.34,11.02,8.1,2.61,6.37,1.1200000000000001,1.67,1.24,,1.25,0.5,0.5,0.5,0.5,4.5599999999999996,7.94,0.5,0.5,0.5,0.5,0.5,0.5,1,1.36,0.5,1.1399999999999999,1.23,1.79,0.5,0.5,0.5,1.21,1.57,0.5,0.5,0.5,0.26,4.7,6.3,1.51,0.5,0.5,0.5
01/22/23 12:00,3.48,6.5,3.56,8,2.2200000000000002,4.8499999999999996,2.42,1.41,1.38,1.38,0.34,1.74,1.6,1.67,2.61,0.5,1.34,11.02,8.1,2.61,6.37,1.1200000000000001,1.67,1.24,,1.25,0.5,0.5,0.5,0.5,4.5599999999999996,7.94,0.5,0.5,0.5,0.5,0.5,0.5,1,1.36,0.5,1.1399999999999999,1.23,1.79,0.5,0.5,0.5,1.21,1.57,0.5,0.5,0.5,0.26,4.7,6.3,1.51,0.5,0.5,0.5
01/23/23 12:00,2.16,3.56,3.72,2.9,2.31,2.15,1.78,0.5,0.5,1.18,0.48,1.7,2.83,1.1200000000000001,2.09,0.5,0.5,2.42,4.43,1.9,2.5499999999999998,0.5,0.5,0.5,,0.5,1.96,0.5,1.81,0.5,1.68,1.74,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.18,0.5,,0.5,0.5,0.5,0.48,4.2300000000000004,3.62,1.23,0.5,0.5,0.5
01/24/23 12:00,2.16,3.56,3.72,2.9,2.31,2.15,1.78,0.5,0.5,1.18,0.48,1.7,2.83,1.1200000000000001,2.09,0.5,0.5,2.42,4.43,1.9,2.5499999999999998,0.5,0.5,0.5,,0.5,1.96,0.5,1.81,0.5,1.68,1.74,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.18,0.5,0.5,0.5,0.5,0.5,0.48,4.2300000000000004,3.62,1.23,0.5,0.5,0.5
01/25/23 12:00,2.16,3.56,3.72,2.9,2.31,2.15,1.78,0.5,0.5,1.18,0.48,1.7,2.83,1.1200000000000001,2.09,0.5,0.5,2.42,4.43,1.9,2.5499999999999998,0.5,0.5,0.5,,0.5,1.96,0.5,1.81,0.5,1.68,1.74,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.18,0.5,0.5,0.5,0.5,0.5,0.48,4.2300000000000004,3.62,1.23,0.5,0.5,0.5
01/26/23 12:00,2.16,3.56,3.72,2.9,2.31,2.15,1.78,0.5,0.5,1.18,0.48,1.7,2.83,1.1200000000000001,2.09,0.5,0.5,2.42,4.43,1.9,2.5499999999999998,0.5,0.5,0.5,,0.5,1.96,0.5,1.81,0.5,1.68,1.74,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.18,0.5,0.5,0.5,0.5,0.5,0.48,4.2300000000000004,3.62,1.23,0.5,0.5,0.5
01/27/23 12:00,2.16,3.56,3.72,2.9,2.31,2.15,1.78,0.5,0.5,1.18,,1.7,2.83,1.1200000000000001,2.09,0.5,0.5,2.42,4.43,1.9,2.5499999999999998,0.5,0.5,0.5,,0.5,1.96,0.5,1.81,0.5,1.68,1.74,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.18,0.5,,0.5,0.5,0.5,0.48,4.2300000000000004,3.62,1.23,0.5,0.5,0.5
01/28/23 12:00,2.16,3.56,3.72,2.9,2.31,2.15,1.78,0.5,0.5,1.18,,1.7,2.83,1.1200000000000001,2.09,0.5,0.5,2.42,4.43,1.9,2.5499999999999998,0.5,0.5,0.5,,0.5,1.96,0.5,1.81,0.5,1.68,1.74,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.18,0.5,0.5,0.5,0.5,0.5,0.48,4.2300000000000004,3.62,1.23,0.5,0.5,0.5
01/29/23 12:00,2.16,3.56,3.72,2.9,2.31,2.15,1.78,0.5,0.5,1.18,,1.7,2.83,1.1200000000000001,2.09,0.5,0.5,2.42,4.43,1.9,2.5499999999999998,0.5,0.5,0.5,,0.5,1.96,0.5,1.81,0.5,1.68,1.74,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.18,0.5,0.5,0.5,0.5,0.5,0.48,4.2300000000000004,3.62,1.23,0.5,0.5,0.5
01/30/23 12:00,5.4,7.32,0.8,4.24,0.5,1.17,1.62,0.5,0.5,0.5,,0.5,0.5,0.5,1.22,0.5,0.5,1.2,3.59,0.5,0.5,0.5,0.5,0.5,0.5,1.1499999999999999,1.34,0.5,1.68,0.5,1.03,0.5,0.5,,0.5,0.5,1.01,1.18,1.2,1.29,0.5,0.5,0.5,1.9,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.21,3.61,,0.5,0.5,0.5,0.5
01/31/23 12:00,5.4,7.32,0.8,4.24,0.5,1.17,1.62,0.5,0.5,0.5,0.11,0.5,0.5,0.5,1.22,0.5,0.5,1.2,3.59,0.5,0.5,0.5,0.5,0.5,0.5,1.1499999999999999,1.34,0.5,1.68,0.5,1.03,0.5,0.5,0.5,0.5,0.5,1.01,1.18,1.2,1.29,0.5,0.5,0.5,1.9,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.21,3.61,,0.5,0.5,0.5,0.5
02/01/23 12:00,5.4,7.32,0.8,4.24,0.5,1.17,1.62,0.5,0.5,0.5,0.11,0.5,0.5,0.5,1.22,0.5,0.5,1.2,3.59,0.5,0.5,0.5,0.5,0.5,0.5,1.1499999999999999,1.34,0.5,1.68,0.5,1.03,0.5,0.5,0.5,0.5,0.5,1.01,1.18,1.2,1.29,0.5,0.5,0.5,1.9,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.21,3.61,,0.5,0.5,0.5,0.5
02/02/23 12:00,5.4,7.32,0.8,4.24,0.5,1.17,1.62,0.5,0.5,0.5,0.11,0.5,0.5,0.5,1.22,0.5,0.5,1.2,3.59,0.5,0.5,0.5,0.5,0.5,0.5,1.1499999999999999,1.34,0.5,1.68,0.5,1.03,0.5,0.5,0.5,0.5,0.5,1.01,1.18,1.2,1.29,0.5,0.5,0.5,1.9,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.21,3.61,,0.5,0.5,0.5,0.5
02/03/23 12:00,5.4,7.32,0.8,4.24,0.5,1.17,1.62,0.5,0.5,0.5,0.11,0.5,0.5,0.5,1.22,0.5,0.5,1.2,3.59,0.5,0.5,0.5,0.5,0.5,0.5,1.1499999999999999,1.34,0.5,1.68,0.5,1.03,0.5,0.5,0.5,0.5,0.5,1.01,1.18,1.2,1.29,0.5,0.5,0.5,1.9,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.21,3.61,,0.5,0.5,0.5,0.5
02/04/23 12:00,5.4,7.32,0.8,4.24,0.5,1.17,1.62,0.5,0.5,0.5,0.11,0.5,0.5,0.5,1.22,0.5,0.5,1.2,3.59,0.5,0.5,0.5,0.5,0.5,0.5,1.1499999999999999,1.34,0.5,1.68,0.5,1.03,0.5,0.5,0.5,0.5,0.5,1.01,1.18,1.2,1.29,0.5,0.5,0.5,1.9,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.21,3.61,,0.5,0.5,0.5,0.5
02/05/23 12:00,5.4,7.32,0.8,4.24,0.5,1.17,1.62,0.5,0.5,0.5,0.11,0.5,0.5,0.5,1.22,0.5,0.5,1.2,3.59,0.5,0.5,0.5,0.5,0.5,0.5,1.1499999999999999,1.34,0.5,1.68,0.5,1.03,0.5,0.5,0.5,0.5,0.5,1.01,1.18,1.2,1.29,0.5,0.5,0.5,1.9,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.21,3.61,,0.5,0.5,0.5,0.5
02/06/23 12:00,11.01,6.79,3.16,4.8099999999999996,1.97,3.16,4.1900000000000004,1.83,1.8,2.2799999999999998,0.71,0.5,0.5,1.6,2.92,2.93,3.89,4,5.68,2.41,4.43,2.77,2.54,2.79,1.28,2.5499999999999998,1.73,1.35,1.36,1.54,2.88,3.52,0.5,0.5,1.35,1.33,1.04,1.24,1.8,2.27,1.78,0.5,1.37,1.49,,1.21,1.25,0.5,2.5299999999999998,1.74,0.5,0.5,0.43,4.71,,4.17,0.5,1.62,0.5
02/07/23 12:00,11.01,6.79,3.16,4.8099999999999996,1.97,3.16,4.1900000000000004,1.83,1.8,2.2799999999999998,0.71,0.5,0.5,1.6,2.92,2.93,3.89,4,5.68,2.41,4.43,2.77,2.54,2.79,1.28,2.5499999999999998,1.73,1.35,1.36,1.54,2.88,3.52,0.5,0.5,1.35,1.33,1.04,1.24,1.8,2.27,1.78,0.5,1.37,1.49,1.54,1.21,1.25,0.5,2.5299999999999998,1.74,0.5,0.5,0.43,4.71,5.94,4.17,0.5,1.62,0.5
02/08/23 12:00,11.01,6.79,3.16,4.8099999999999996,1.97,3.16,4.1900000000000004,1.83,1.8,2.2799999999999998,0.71,0.5,0.5,1.6,2.92,2.93,3.89,4,5.68,2.41,4.43,2.77,2.54,2.79,1.28,2.5499999999999998,1.73,1.35,,1.54,2.88,3.52,0.5,0.5,1.35,1.33,1.04,1.24,1.8,2.27,1.78,0.5,1.37,1.49,1.54,1.21,1.25,0.5,2.5299999999999998,1.74,0.5,0.5,0.43,4.71,5.94,4.17,0.5,1.62,0.5
02/09/23 12:00,11.01,6.79,3.16,4.8099999999999996,1.97,3.16,4.1900000000000004,1.83,1.8,2.2799999999999998,0.71,0.5,0.5,1.6,2.92,2.93,3.89,4,5.68,2.41,4.43,2.77,2.54,2.79,1.28,2.5499999999999998,1.73,1.35,1.36,1.54,2.88,3.52,0.5,0.5,1.35,1.33,1.04,1.24,1.8,2.27,1.78,0.5,1.37,1.49,1.54,1.21,1.25,0.5,,1.74,0.5,0.5,0.43,4.71,5.94,4.17,0.5,1.62,0.5
02/10/23 12:00,11.01,6.79,3.16,4.8099999999999996,1.97,3.16,4.1900000000000004,1.83,1.8,2.2799999999999998,0.71,0.5,0.5,1.6,2.92,2.93,3.89,4,5.68,2.41,4.43,2.77,2.54,2.79,1.28,2.5499999999999998,1.73,1.35,1.36,1.54,2.88,3.52,0.5,0.5,1.35,1.33,1.04,1.24,1.8,2.27,1.78,0.5,1.37,1.49,1.54,1.21,1.25,0.5,,1.74,0.5,0.5,0.43,4.71,5.94,4.17,0.5,1.62,0.5
02/11/23 12:00,11.01,6.79,3.16,4.8099999999999996,1.97,3.16,4.1900000000000004,1.83,1.8,2.2799999999999998,0.71,0.5,0.5,1.6,2.92,2.93,3.89,4,5.68,2.41,4.43,2.77,2.54,2.79,1.28,2.5499999999999998,1.73,1.35,1.36,1.54,2.88,3.52,0.5,0.5,1.35,1.33,1.04,1.24,1.8,2.27,1.78,0.5,1.37,1.49,1.54,1.21,1.25,0.5,2.5299999999999998,1.74,0.5,0.5,0.43,4.71,5.94,4.17,0.5,1.62,0.5
02/12/23 12:00,11.01,6.79,3.16,4.8099999999999996,1.97,3.16,4.1900000000000004,1.83,1.8,2.2799999999999998,0.71,0.5,0.5,1.6,2.92,2.93,3.89,4,5.68,2.41,4.43,2.77,2.54,2.79,1.28,2.5499999999999998,1.73,1.35,1.36,1.54,2.88,3.52,0.5,0.5,1.35,1.33,1.04,1.24,1.8,2.27,1.78,0.5,1.37,1.49,1.54,1.21,1.25,0.5,2.5299999999999998,1.74,0.5,0.5,0.43,4.71,5.94,4.17,0.5,1.62,0.5
